trip_id,arrival_time,departure_time,stop_sequence,stop_id
009A_1,15:28:34,15:28:34,20,S6201
009A_1,15:33:27,15:33:27,21,S6202
009A_1,15:34:32,15:34:32,22,T6203
009B_1,15:40:36,15:40:36,1,T6203
009B_1,15:41:52,15:41:52,2,S6206
009B_1,15:50:50,15:50:50,3,S6207
009B_1,15:54:44,15:54:44,4,S6208
009B_1,16:17:01,16:17:01,5,S352
009B_1,16:28:45,16:28:45,6,S6211
009B_1,16:39:59,16:39:59,7,S6001
009B_1,16:46:26,16:46:26,8,S5357
009B_1,16:50:29,16:50:29,9,T0
010A_1,12:52:09,12:52:09,1,T0
010A_1,13:21:50,13:21:50,2,S6219
010A_1,13:25:32,13:25:32,3,S415
010A_1,13:28:43,13:28:43,4,S629
010A_1,13:30:31,13:30:31,5,T3846
010B_1,13:36:41,13:36:41,1,T3846
010B_1,13:57:42,13:57:42,2,S14
010B_1,14:04:47,14:04:47,3,S15
010B_1,14:07:01,14:07:01,4,S380
010B_1,14:21:35,14:21:35,5,S6229
010B_1,14:22:33,14:22:33,6,S6231
010B_1,14:26:25,14:26:25,7,T0
011A_1,14:37:47,14:37:47,1,T20
011A_1,14:38:25,14:38:25,2,S5870
011A_1,14:39:46,14:39:46,3,S5260
011A_1,14:42:24,14:42:24,4,S6238
011A_1,14:43:10,14:43:10,5,S6240
011A_1,14:46:50,14:46:50,6,S216
011A_1,14:49:23,14:49:23,7,T1043
011B_1,14:57:46,14:57:46,1,T1043
011B_1,15:03:41,15:03:41,2,S6246
011B_1,15:10:33,15:10:33,3,S6247
011B_1,15:18:52,15:18:52,4,T0
012A_1,14:34:37,14:34:37,1,T0
012A_1,14:39:20,14:39:20,2,S1530
012A_1,14:40:44,14:40:44,3,S5259
012A_1,14:41:40,14:41:40,4,S5260
012A_1,14:43:14,14:43:14,5,S5262
012A_1,14:45:17,14:45:17,6,S5263
012A_1,14:45:50,14:45:50,7,S1527
012A_1,14:48:52,14:48:52,8,S216
012A_1,14:51:40,14:51:40,9,T1325
012B_1,15:20:43,15:20:43,1,T3711
012B_1,15:24:15,15:24:15,2,S5269
012B_1,15:26:21,15:26:21,3,S5271
012B_1,15:27:38,15:27:38,4,S32
012B_1,15:28:42,15:28:42,5,S1535
012B_1,15:30:06,15:30:06,6,S34
012B_1,15:34:38,15:34:38,7,T0
013A_1,15:44:00,15:44:00,1,T0
013A_1,15:45:28,15:45:28,2,S5279
013A_1,15:47:36,15:47:36,3,S1530
013A_1,15:53:07,15:53:07,4,S1527
013A_1,15:55:30,15:55:30,5,S5283
013A_1,15:59:24,15:59:24,6,T1043
013B_1,16:17:07,16:17:07,1,T1596
013B_1,16:35:00,16:35:00,2,S5288
013B_1,16:40:49,16:40:49,3,S5289
013B_1,16:42:54,16:42:54,4,S5290
013B_1,16:43:52,16:43:52,5,S5291
013B_1,16:45:22,16:45:22,6,S1535
013B_1,16:50:46,16:50:46,7,T5296
014A_1,14:55:54,14:55:54,1,T0
014A_1,15:03:48,15:03:48,2,S853
014A_1,15:05:33,15:05:33,3,S5300
014A_1,15:13:55,15:13:55,4,S216
014A_1,15:18:51,15:18:51,5,S254
014A_1,15:30:25,15:30:25,6,T1043
014B_1,15:32:04,15:32:04,1,T113
014B_1,15:35:38,15:35:38,2,S5310
014B_1,15:38:14,15:38:14,3,S5312
014B_1,15:41:51,15:41:51,4,S5314
014B_1,15:42:41,15:42:41,5,S5315
014B_1,15:48:59,15:48:59,6,S1370
014B_1,15:55:23,15:55:23,7,S5318
014B_1,16:02:23,16:02:23,8,S5320
014B_1,16:04:22,16:04:22,9,S5321
014B_1,16:07:32,16:07:32,10,S5323
014B_1,16:09:57,16:09:57,11,T0
015A_1,12:51:08,12:51:08,1,T0
015A_1,12:53:23,12:53:23,2,S5327
015A_1,12:57:00,12:57:00,3,S5328
015A_1,12:58:47,12:58:47,4,S5188
015A_1,13:01:15,13:01:15,5,S5331
015A_1,13:05:48,13:05:48,6,S5332
015A_1,13:07:05,13:07:05,7,S3284
015A_1,13:17:21,13:17:21,8,S5335
015A_1,13:19:12,13:19:12,9,S5336
015A_1,13:20:53,13:20:53,10,S5337
015A_1,13:22:47,13:22:47,11,S5338
015A_1,13:28:11,13:28:11,12,S5339
015A_1,13:30:30,13:30:30,13,S5340
