trip_id,arrival_time,departure_time,stop_sequence,stop_id
046B_1,10:21:23,10:21:23,7,S5882
046B_1,10:23:48,10:23:48,8,S57
046B_1,10:24:53,10:24:53,9,S5885
046B_1,10:25:51,10:25:51,10,S5886
046B_1,10:31:45,10:31:45,11,T75
048A_1,9:04:29,9:04:29,1,T0
048A_1,9:29:50,9:29:50,2,S3882
048A_1,9:31:40,9:31:40,3,S3884
048A_1,9:35:41,9:35:41,4,S5892
048A_1,9:38:21,9:38:21,5,S4162
048A_1,9:41:13,9:41:13,6,S914
048A_1,9:42:37,9:42:37,7,S1830
048A_1,9:43:19,9:43:19,8,T2497
048B_1,9:48:41,9:48:41,1,T2497
048B_1,10:06:25,10:06:25,2,S2799
048B_1,10:17:54,10:17:54,3,S1535
048B_1,10:27:30,10:27:30,4,T0
050A_1,10:49:06,10:49:06,1,T0
050A_1,11:16:25,11:16:25,2,S5917
050A_1,11:20:49,11:20:49,3,S5918
050A_1,11:22:22,11:22:22,4,S5919
050A_1,11:24:21,11:24:21,5,S5921
050A_1,11:26:59,11:26:59,6,T5922
050B_1,11:29:00,11:29:00,1,T5922
050B_1,11:35:46,11:35:46,2,S5925
050B_1,11:39:19,11:39:19,3,S5926
050B_1,11:40:43,11:40:43,4,S5927
050B_1,11:43:40,11:43:40,5,S5928
050B_1,11:48:08,11:48:08,6,S5929
050B_1,11:51:02,11:51:02,7,S1960
050B_1,11:54:47,11:54:47,8,S4179
050B_1,11:58:24,11:58:24,9,S5933
050B_1,11:59:47,11:59:47,10,S3760
050B_1,12:05:07,12:05:07,11,S880
050B_1,12:11:26,12:11:26,12,T0
051A_1,15:32:55,15:32:55,1,T5938
051A_1,15:35:17,15:35:17,2,S1672
051A_1,15:38:34,15:38:34,3,S1673
051A_1,15:39:57,15:39:57,4,S5943
051A_1,15:43:38,15:43:38,5,S5944
051A_1,15:45:15,15:45:15,6,S1677
051A_1,15:46:45,15:46:45,7,S5946
051A_1,15:49:42,15:49:42,8,S5947
051A_1,15:51:19,15:51:19,9,S5949
051A_1,15:53:40,15:53:40,10,S1682
051A_1,15:57:08,15:57:08,11,S5951
051A_1,15:58:14,15:58:14,12,S5952
051A_1,16:00:03,16:00:03,13,S5953
051A_1,16:01:13,16:01:13,14,T5954
051B_1,16:01:39,16:01:39,1,T5954
051B_1,16:31:47,16:31:47,2,S5957
051B_1,16:36:13,16:36:13,3,S1697
051B_1,16:46:29,16:46:29,4,S5959
051B_1,16:47:11,16:47:11,5,S5680
051B_1,16:48:35,16:48:35,6,S5962
051B_1,16:50:31,16:50:31,7,S5963
051B_1,16:57:04,16:57:04,8,S5964
051B_1,16:59:02,16:59:02,9,S5965
051B_1,17:00:12,17:00:12,10,S5966
051B_1,17:06:03,17:06:03,11,T0
052A_1,12:06:23,12:06:23,1,T0
052A_1,12:24:09,12:24:09,2,S5970
052A_1,12:27:06,12:27:06,3,S5435
052A_1,12:29:41,12:29:41,4,S5972
052A_1,12:33:53,12:33:53,5,S415
052A_1,12:38:15,12:38:15,6,S582
052A_1,12:45:17,12:45:17,7,S5977
052A_1,12:48:24,12:48:24,8,S5978
052A_1,12:50:22,12:50:22,9,S5979
052A_1,12:52:15,12:52:15,10,S591
052A_1,12:53:21,12:53:21,11,S5981
052A_1,12:55:33,12:55:33,12,S593
052A_1,12:58:20,12:58:20,13,S595
052A_1,13:01:50,13:01:50,14,S596
052A_1,13:04:39,13:04:39,15,T5985
052B_1,13:09:00,13:09:00,1,T5985
052B_1,13:21:12,13:21:12,2,S5988
052B_1,13:28:03,13:28:03,3,S5989
052B_1,13:30:23,13:30:23,4,S5990
052B_1,13:36:59,13:36:59,5,S5991
052B_1,13:41:20,13:41:20,6,S14
052B_1,13:48:42,13:48:42,7,S5994
052B_1,13:50:18,13:50:18,8,S5203
052B_1,13:53:03,13:53:03,9,S15
052B_1,13:54:42,13:54:42,10,S5998
052B_1,13:56:09,13:56:09,11,S620
052B_1,14:03:37,14:03:37,12,S6001
052B_1,14:06:35,14:06:35,13,S19
052B_1,14:11:33,14:11:33,14,S6003
052B_1,14:14:30,14:14:30,15,T0
055A_1,11:09:41,11:09:41,1,T0
055A_1,11:43:49,11:43:49,2,S6007
055A_1,11:54:32,11:54:32,3,S2225
055A_1,11:55:54,11:55:54,4,S4145
055A_1,11:56:25,11:56:25,5,S4146
055A_1,11:58:02,11:58:02,6,S6012
055A_1,12:00:14,12:00:14,7,S6014
055A_1,12:03:09,12:03:09,8,S6015
055A_1,12:07:25,12:07:25,9,S1069
055A_1,12:09:18,12:09:18,10,S6017
055A_1,12:11:55,12:11:55,11,T1442
055B_1,12:13:32,12:13:32,1,T1442
055B_1,12:59:35,12:59:35,2,S6021
055B_1,13:03:58,13:03:58,3,S1188
055B_1,13:08:48,13:08:48,4,S6024
055B_1,13:18:27,13:18:27,5,S6025
055B_1,13:33:17,13:33:17,6,S3162
055B_1,13:34:53,13:34:53,7,T0
056A_1,13:41:09,13:41:09,1,T0
056A_1,13:43:40,13:43:40,2,S3213
056A_1,13:44:46,13:44:46,3,S3215
056A_1,13:45:40,13:45:40,4,S6032
056A_1,13:47:18,13:47:18,5,S3217
056A_1,13:48:26,13:48:26,6,S6034
056A_1,13:49:13,13:49:13,7,S6035
056A_1,13:50:12,13:50:12,8,S6036
056A_1,13:51:56,13:51:56,9,T3219
056B_1,13:58:44,13:58:44,1,T3219
056B_1,14:00:36,14:00:36,2,S6040
056B_1,14:01:31,14:01:31,3,S6041
056B_1,14:04:54,14:04:54,4,S5965
056B_1,14:06:53,14:06:53,5,S3177
056B_1,14:08:44,14:08:44,6,S881
056B_1,14:13:54,14:13:54,7,T0
058A_1,12:55:58,12:55:58,1,T0
058A_1,13:25:35,13:25:35,2,S3166
058A_1,13:28:26,13:28:26,3,S3217
058A_1,13:29:48,13:29:48,4,S6053
058A_1,13:31:02,13:31:02,5,S6054
058A_1,13:36:37,13:36:37,6,S1734
058A_1,13:40:58,13:40:58,7,S6057
058A_1,13:45:24,13:45:24,8,S6059
058A_1,13:49:24,13:49:24,9,S6060
058A_1,13:51:59,13:51:59,10,T6061
058B_1,13:58:34,13:58:34,1,S6063
058B_1,14:04:14,14:04:14,2,S6064
058B_1,14:07:01,14:07:01,3,S6065
058B_1,14:09:07,14:09:07,4,S6066
058B_1,14:10:25,14:10:25,5,S6067
058B_1,14:16:09,14:16:09,6,S6068
058B_1,14:25:55,14:25:55,7,T0
061A_1,11:09:26,11:09:26,1,T1328
061A_1,11:34:10,11:34:10,2,S2194
061A_1,11:37:12,11:37:12,3,S553
061A_1,11:38:47,11:38:47,4,S6076
061A_1,11:41:54,11:41:54,5,S6077
061A_1,11:50:33,11:50:33,6,S5513
061A_1,11:54:43,11:54:43,7,S2943
061A_1,12:01:29,12:01:29,8,S6081
061A_1,12:02:20,12:02:20,9,S238
061A_1,12:04:18,12:04:18,10,S6083
061A_1,12:12:00,12:12:00,11,T244
061B_1,12:21:07,12:21:07,1,T244
061B_1,12:54:21,12:54:21,2,S567
061B_1,12:57:35,12:57:35,3,S569
061B_1,12:59:25,12:59:25,4,S6089
061B_1,13:01:11,13:01:11,5,S6091
061B_1,13:02:27,13:02:27,6,T1328
064A_1,8:52:28,8:52:28,1,T89
064A_1,9:14:45,9:14:45,2,S91
064A_1,9:17:44,9:17:44,3,S92
064A_1,9:21:40,9:21:40,4,S94
064A_1,9:23:22,9:23:22,5,S95
064A_1,9:25:52,9:25:52,6,S96
064A_1,9:29:44,9:29:44,7,S97
064A_1,9:30:55,9:30:55,8,S98
064A_1,9:31:56,9:31:56,9,S99
064A_1,9:32:32,9:32:32,10,S100
064A_1,9:33:28,9:33:28,11,S101
064A_1,9:35:15,9:35:15,12,S102
064A_1,9:37:53,9:37:53,13,T103
064B_1,10:00:12,10:00:12,1,T103
064B_1,10:21:19,10:21:19,2,S106
064B_1,10:23:49,10:23:49,3,S108
064B_1,10:38:11,10:38:11,4,S109
064B_1,10:43:09,10:43:09,5,S110
064B_1,10:54:10,10:54:10,6,S111
064B_1,10:57:12,10:57:12,7,T89
065A_1,11:49:34,11:49:34,1,T113
065A_1,12:10:26,12:10:26,2,S115
065A_1,12:22:57,12:22:57,3,S116
065A_1,12:24:35,12:24:35,4,S117
065A_1,12:26:03,12:26:03,5,T118
065B_1,12:32:55,12:32:55,1,T118
065B_1,12:50:23,12:50:23,2,S121
065B_1,12:54:11,12:54:11,3,S122
065B_1,12:55:36,12:55:36,4,S123
065B_1,13:15:55,13:15:55,5,T132
066A_1,14:01:55,14:01:55,1,T133
066A_1,14:18:53,14:18:53,2,S135
066A_1,14:32:40,14:32:40,3,T136
066B_1,14:38:37,14:38:37,1,T136
066B_1,15:29:36,15:29:36,2,T133
067A_1,11:45:58,11:45:58,1,T113
067A_1,13:00:01,13:00:01,2,S142
067A_1,13:10:55,13:10:55,3,S143
067A_1,13:14:06,13:14:06,4,S144
067A_1,13:16:43,13:16:43,5,S145
067A_1,13:19:41,13:19:41,6,S146
067B_1,14:19:48,14:19:48,1,T147
067B_1,14:23:21,14:23:21,2,S150
067B_1,14:44:38,14:44:38,3,S151
067B_1,15:02:23,15:02:23,4,S152
067B_1,15:04:28,15:04:28,5,S153
067B_1,15:08:48,15:08:48,6,T113
070A_1,9:33:00,9:33:00,1,T155
070A_1,9:36:52,9:36:52,2,S157
070A_1,9:40:41,9:40:41,3,S158
070A_1,9:41:43,9:41:43,4,S160
070A_1,9:43:05,9:43:05,5,S161
070A_1,9:44:20,9:44:20,6,S162
070A_1,9:45:45,9:45:45,7,S164
070A_1,9:47:05,9:47:05,8,S165
070A_1,9:48:20,9:48:20,9,S166
070A_1,9:49:25,9:49:25,10,S167
070A_1,9:52:21,9:52:21,11,T168
070B_1,10:00:03,10:00:03,1,T168
070B_1,10:02:24,10:02:24,2,S171
070B_1,10:03:39,10:03:39,3,S172
070B_1,10:07:07,10:07:07,4,S173
070B_1,10:14:33,10:14:33,5,S175
070B_1,10:16:18,10:16:18,6,S177
070B_1,10:21:47,10:21:47,7,S179
070B_1,10:24:23,10:24:23,8,S180
070B_1,10:25:15,10:25:15,9,S181
070B_1,10:30:28,10:30:28,10,T155
070B_1,10:52:59,10:52:59,11,T183
071A_1,10:38:30,10:38:30,1,T155
071A_1,10:46:36,10:46:36,2,S187
071A_1,10:49:07,10:49:07,3,T183
071B_1,10:56:05,10:56:05,1,S175
071B_1,11:00:55,11:00:55,2,S179
071B_1,11:02:08,11:02:08,3,S192
071B_1,11:03:25,11:03:25,4,S193
071B_1,11:08:52,11:08:52,5,T155
072A_1,13:05:39,13:05:39,1,T195
072A_1,13:11:06,13:11:06,2,T197
072B_1,13:15:04,13:15:04,1,T197
072B_1,13:28:06,13:28:06,2,S200
072B_1,13:31:03,13:31:03,3,T201
074A_1,14:02:39,14:02:39,1,T202
074A_1,14:32:17,14:32:17,2,S204
074A_1,14:38:15,14:38:15,3,S205
074A_1,14:42:07,14:42:07,4,S206
074A_1,14:47:00,14:47:00,5,S207
075A_1,10:18:45,10:18:45,1,T208
075A_1,10:39:41,10:39:41,2,S210
075A_1,10:42:25,10:42:25,3,T211
075B_1,10:56:29,10:56:29,1,T212
075B_1,10:59:25,10:59:25,2,S214
075B_1,11:21:10,11:21:10,3,T208
076A_1,11:33:27,11:33:27,1,T232
076A_1,11:42:19,11:42:19,2,S3944
076A_1,11:44:01,11:44:01,3,S6125
076A_1,11:44:49,11:44:49,4,S6126
076A_1,11:46:06,11:46:06,5,S2879
076A_1,11:49:54,11:49:54,6,T2880
076B_1,11:51:29,11:51:29,1,T2880
076B_1,12:11:51,12:11:51,2,S566
076B_1,12:12:51,12:12:51,3,S567
076B_1,12:14:36,12:14:36,4,S569
076B_1,12:18:08,12:18:08,5,S6136
076B_1,12:21:33,12:21:33,6,S6138
076B_1,12:25:57,12:25:57,7,S6139
076B_1,12:27:30,12:27:30,8,S6140
076B_1,12:31:26,12:31:26,9,T251
078A_1,9:31:24,9:31:24,1,S216
078A_1,9:36:27,9:36:27,2,S217
078A_1,9:43:59,9:43:59,3,S219
078A_1,9:46:41,9:46:41,4,S205
078A_1,9:48:40,9:48:40,5,S222
078A_1,9:54:34,9:54:34,6,S206
078A_1,10:03:04,10:03:04,7,T113
078B_1,10:04:34,10:04:34,1,T225
078B_1,10:08:59,10:08:59,2,S227
078B_1,10:11:22,10:11:22,3,S228
078B_1,10:19:57,10:19:57,4,S229
078B_1,10:27:06,10:27:06,5,S231
078B_1,10:39:14,10:39:14,6,T232
079A_1,10:46:07,10:46:07,1,T232
079A_1,11:05:55,11:05:55,2,S235
079A_1,11:12:29,11:12:29,3,S237
079A_1,11:17:00,11:17:00,4,S238
079A_1,11:18:44,11:18:44,5,S239
079A_1,11:28:01,11:28:01,6,T240
079B_1,10:29:21,10:29:21,1,S241
079B_1,10:31:26,10:31:26,2,S242
079B_1,10:34:58,10:34:58,3,S243
079B_1,11:43:00,11:43:00,4,T244
079B_1,13:28:06,13:28:06,5,S246
079B_1,13:30:35,13:30:35,6,S247
079B_1,13:33:33,13:33:33,7,S243
079B_1,13:37:08,13:37:08,8,S249
079B_1,13:38:40,13:38:40,9,T232
080A_1,9:28:51,9:28:51,1,T251
080A_1,9:32:46,9:32:46,2,S216
080A_1,9:37:51,9:37:51,3,S254
080A_1,9:49:53,9:49:53,4,S222
080A_1,9:56:02,9:56:02,5,S206
080A_1,10:04:33,10:04:33,6,T225
080B_1,10:06:10,10:06:10,1,T225
080B_1,10:09:49,10:09:49,2,S261
080B_1,10:13:03,10:13:03,3,S262
080B_1,10:21:41,10:21:41,4,S263
080B_1,10:28:49,10:28:49,5,S231
080B_1,10:30:59,10:30:59,6,S241
080B_1,10:33:43,10:33:43,7,S267
080B_1,10:35:07,10:35:07,8,S268
080B_1,10:36:17,10:36:17,9,S243
080B_1,10:40:52,10:40:52,10,T251
081A_1,9:45:19,9:45:19,1,S271
081A_1,9:48:22,9:48:22,2,S205
081A_1,11:45:50,11:45:50,3,T251
081A_1,12:11:01,12:11:01,4,S276
081A_1,12:17:18,12:17:18,5,S277
081A_1,12:18:29,12:18:29,6,S278
081A_1,12:19:43,12:19:43,7,S280
081A_1,12:21:52,12:21:52,8,S282
081A_1,12:28:04,12:28:04,9,S283
081A_1,12:34:56,12:34:56,10,S285
081A_1,12:36:20,12:36:20,11,S286
081A_1,12:37:24,12:37:24,12,S287
081A_1,12:41:19,12:41:19,13,T288
081B_1,12:46:09,12:46:09,1,T288
081B_1,12:49:44,12:49:44,2,S291
081B_1,12:51:26,12:51:26,3,S292
081B_1,12:54:21,12:54:21,4,S293
081B_1,12:58:38,12:58:38,5,S294
081B_1,13:08:40,13:08:40,6,S296
081B_1,13:12:52,13:12:52,7,S297
081B_1,13:14:38,13:14:38,8,S299
081B_1,13:16:13,13:16:13,9,S300
081B_1,13:18:53,13:18:53,10,S301
081B_1,13:20:12,13:20:12,11,S302
081B_1,13:21:36,13:21:36,12,S303
081B_1,13:23:47,13:23:47,13,S304
081B_1,13:30:13,13:30:13,14,S305
081B_1,13:32:47,13:32:47,15,S306
081B_1,13:36:46,13:36:46,16,T251
082A_1,13:43:08,13:43:08,1,T251
082A_1,14:14:46,14:14:46,2,S310
082A_1,14:36:47,14:36:47,3,S312
082A_1,14:38:00,14:38:00,4,S313
082A_1,14:41:39,14:41:39,5,S314
082A_1,14:43:18,14:43:18,6,S315
082A_1,14:45:19,14:45:19,7,S316
082A_1,14:47:07,14:47:07,8,T317
082B_1,14:52:48,14:52:48,1,T168
082B_1,14:59:04,14:59:04,2,S320
082B_1,15:00:12,15:00:12,3,S321
082B_1,15:01:41,15:01:41,4,S171
082B_1,15:05:22,15:05:22,5,S323
082B_1,15:06:20,15:06:20,6,S173
082B_1,15:11:53,15:11:53,7,S326
082B_1,15:15:50,15:15:50,8,S327
082B_1,15:18:18,15:18:18,9,S329
082B_1,15:20:21,15:20:21,10,S181
082B_1,15:25:14,15:25:14,11,S332
082B_1,15:28:42,15:28:42,12,S334
082B_1,15:34:26,15:34:26,13,S335
082B_1,15:36:40,15:36:40,14,S243
082B_1,15:42:55,15:42:55,15,T251
084A_1,9:05:52,9:05:52,1,T232
084A_1,9:53:40,9:53:40,2,S340
084A_1,9:55:50,9:55:50,3,S341
084A_1,9:57:31,9:57:31,4,S342
084A_1,10:03:33,10:03:33,5,S345
084A_1,10:04:55,10:04:55,6,S346
084A_1,10:07:49,10:07:49,7,S347
084A_1,10:10:24,10:10:24,8,T349
084B_1,10:17:12,10:17:12,1,T350
084B_1,10:21:13,10:21:13,2,S352
084B_1,10:24:26,10:24:26,3,S353
084B_1,10:34:00,10:34:00,4,T232
085A_1,10:57:37,10:57:37,1,T232
085A_1,11:04:10,11:04:10,2,S357
085A_1,11:07:41,11:07:41,3,T358
085B_1,11:09:14,11:09:14,1,T358
085B_1,11:28:14,11:28:14,2,S361
085B_1,11:31:37,11:31:37,3,T232
088A_1,9:09:35,9:09:35,1,T251
088A_1,9:26:04,9:26:04,2,S365
088A_1,9:28:44,9:28:44,3,S367
088A_1,9:30:52,9:30:52,4,S368
088A_1,9:32:04,9:32:04,5,S369
088A_1,9:35:00,9:35:00,6,T370
088B_1,9:41:27,9:41:27,1,T370
088B_1,9:43:51,9:43:51,2,S373
088B_1,9:45:25,9:45:25,3,S375
088B_1,9:46:40,9:46:40,4,S376
088B_1,9:50:33,9:50:33,5,S378
088B_1,9:54:33,9:54:33,6,S380
088B_1,9:57:38,9:57:38,7,S382
088B_1,9:58:44,9:58:44,8,S384
088B_1,10:00:21,10:00:21,9,S385
088B_1,10:03:29,10:03:29,10,S387
088B_1,10:10:49,10:10:49,11,T251
090A_1,12:29:56,12:29:56,1,T251
090A_1,13:19:38,13:19:38,2,S3814
090A_1,13:21:07,13:21:07,3,S480
090A_1,13:22:33,13:22:33,4,S5044
090A_1,13:38:44,13:38:44,5,S5047
090A_1,13:40:21,13:40:21,6,S5048
090A_1,13:42:49,13:42:49,7,S5049
090A_1,13:51:15,13:51:15,8,T118
090B_1,13:54:38,13:54:38,1,T2166
090B_1,14:17:47,14:17:47,2,S5053
090B_1,14:24:34,14:24:34,3,S5054
090B_1,14:26:46,14:26:46,4,S3040
090B_1,14:29:33,14:29:33,5,S3162
090B_1,14:34:59,14:34:59,6,S243
090B_1,14:38:14,14:38:14,7,T251
092A_1,14:42:07,14:42:07,1,T251
092A_1,15:06:03,15:06:03,2,S5063
092A_1,15:17:25,15:17:25,3,S5064
092A_1,15:19:22,15:19:22,4,S5065
092A_1,15:23:15,15:23:15,5,S5067
092A_1,15:26:54,15:26:54,6,S5069
092A_1,15:30:43,15:30:43,7,S5070
092A_1,15:31:40,15:31:40,8,S5071
092A_1,15:34:42,15:34:42,9,S5072
092A_1,15:38:48,15:38:48,10,T5073
092B_1,15:39:51,15:39:51,1,T5073
092B_1,15:49:42,15:49:42,2,S5076
092B_1,16:00:51,16:00:51,3,S5077
092B_1,16:06:16,16:06:16,4,S5078
092B_1,16:35:57,16:35:57,5,S5079
092B_1,16:43:00,16:43:00,6,T251
093A_1,8:49:20,8:49:20,1,T251
093A_1,9:01:54,9:01:54,2,S391
093A_1,9:03:31,9:03:31,3,S392
093A_1,9:05:36,9:05:36,4,S393
093A_1,9:06:35,9:06:35,5,S394
093A_1,9:13:06,9:13:06,6,S395
093A_1,9:15:11,9:15:11,7,S396
093A_1,9:17:11,9:17:11,8,S397
093A_1,9:20:34,9:20:34,9,T398
093B_1,9:25:10,9:25:10,1,T398
093B_1,9:28:31,9:28:31,2,S402
093B_1,9:31:26,9:31:26,3,S403
093B_1,9:34:05,9:34:05,4,S405
093B_1,9:40:13,9:40:13,5,S406
093B_1,9:45:41,9:45:41,6,S408
093B_1,9:48:16,9:48:16,7,S410
093B_1,9:49:29,9:49:29,8,S411
093B_1,9:51:46,9:51:46,9,T251
094A_1,10:30:58,10:30:58,1,S414
094A_1,10:32:49,10:32:49,2,S415
094A_1,10:35:25,10:35:25,3,S417
094A_1,10:37:04,10:37:04,4,T418
094B_1,10:43:05,10:43:05,1,T418
094B_1,10:44:51,10:44:51,2,S421
094B_1,10:46:48,10:46:48,3,S422
094B_1,10:47:45,10:47:45,4,S423
094B_1,10:49:42,10:49:42,5,S14
094B_1,10:56:08,10:56:08,6,S427
094B_1,10:59:41,10:59:41,7,S384
094B_1,11:00:56,11:00:56,8,S385
094B_1,11:03:42,11:03:42,9,S431
094B_1,11:09:03,11:09:03,10,T251
095A_1,11:12:49,11:12:49,1,T251
095A_1,11:18:26,11:18:26,2,S436
095A_1,11:22:05,11:22:05,3,S437
095A_1,11:23:26,11:23:26,4,S438
095A_1,11:24:41,11:24:41,5,S440
095A_1,11:25:48,11:25:48,6,S441
095A_1,11:26:30,11:26:30,7,S442
095A_1,11:28:01,11:28:01,8,S443
095A_1,11:28:50,11:28:50,9,S444
095A_1,11:31:53,11:31:53,10,S445
095A_1,11:34:11,11:34:11,11,S446
095A_1,11:35:06,11:35:06,12,S447
095A_1,11:37:46,11:37:46,13,T448
095B_1,11:39:39,11:39:39,1,T448
095B_1,11:59:19,11:59:19,2,S451
095B_1,12:05:46,12:05:46,3,S453
095B_1,12:09:35,12:09:35,4,S455
095B_1,12:10:28,12:10:28,5,S456
095B_1,12:12:18,12:12:18,6,S457
095B_1,12:14:12,12:14:12,7,S458
095B_1,12:18:58,12:18:58,8,S431
095B_1,12:23:15,12:23:15,9,T251
096A_1,10:17:38,10:17:38,1,T251
096A_1,10:34:05,10:34:05,2,S465
096A_1,10:38:54,10:38:54,3,S466
096A_1,10:41:30,10:41:30,4,S467
096A_1,10:43:13,10:43:13,5,S468
096A_1,10:46:30,10:46:30,6,T470
096B_1,10:49:47,10:49:47,1,T470
096B_1,11:50:59,11:50:59,2,S242
096B_1,11:53:04,11:53:04,3,S475
096B_1,11:54:33,11:54:33,4,S243
096B_1,11:59:32,11:59:32,5,T251
098A_1,12:02:36,12:02:36,1,T251
098A_1,12:14:38,12:14:38,2,S480
098A_1,12:17:46,12:17:46,3,S482
098A_1,12:19:14,12:19:14,4,T0
098B_1,8:35:48,8:35:48,1,T0
098B_1,8:38:00,8:38:00,2,S486
098B_1,8:39:07,8:39:07,3,S487
098B_1,8:41:41,8:41:41,4,S243
098B_1,8:49:04,8:49:04,5,T251
099A_1,8:52:39,8:52:39,1,T232
099A_1,9:12:33,9:12:33,2,S493
099A_1,9:14:17,9:14:17,3,S494
099A_1,9:18:17,9:18:17,4,S495
099A_1,9:24:43,9:24:43,5,T497
099B_1,9:29:16,9:29:16,1,T497
099B_1,9:39:27,9:39:27,2,S500
099B_1,9:40:58,9:40:58,3,S501
099B_1,9:45:36,9:45:36,4,S503
099B_1,9:49:28,9:49:28,5,S504
099B_1,9:55:56,9:55:56,6,S505
099B_1,9:59:43,9:59:43,7,T251
100A_1,12:24:47,12:24:47,1,T251
100A_1,12:54:36,12:54:36,2,S509
100A_1,12:58:01,12:58:01,3,S494
100A_1,13:03:58,13:03:58,4,S512
100A_1,13:06:10,13:06:10,5,S514
100A_1,13:08:18,13:08:18,6,S516
100A_1,13:10:22,13:10:22,7,S517
100A_1,13:15:50,13:15:50,8,T497
100B_1,13:16:45,13:16:45,1,T497
100B_1,13:27:33,13:27:33,2,S503
100B_1,13:31:48,13:31:48,3,S522
100B_1,13:35:43,13:35:43,4,S523
100B_1,13:40:16,13:40:16,5,T251
102A_1,10:43:35,10:43:35,1,T251
102A_1,10:55:50,10:55:50,2,S528
102A_1,10:57:27,10:57:27,3,S529
102A_1,11:00:40,11:00:40,4,S530
102A_1,11:08:21,11:08:21,5,S531
102A_1,11:12:47,11:12:47,6,S532
102A_1,11:14:57,11:14:57,7,S533
102A_1,11:17:14,11:17:14,8,T534
102B_1,11:27:32,11:27:32,1,T534
102B_1,11:57:29,11:57:29,2,S304
102B_1,12:00:40,12:00:40,3,S539
102B_1,12:02:44,12:02:44,4,S504
102B_1,12:04:41,12:04:41,5,S543
102B_1,12:08:22,12:08:22,6,S523
102B_1,12:13:37,12:13:37,7,T251
103A_1,8:20:06,8:20:06,1,T232
103A_1,8:49:02,8:49:02,2,S550
103A_1,8:51:45,8:51:45,3,S551
103A_1,8:57:08,8:57:08,4,S552
103A_1,8:57:55,8:57:55,5,S553
103A_1,9:00:34,9:00:34,6,S554
103A_1,9:02:34,9:02:34,7,S555
103A_1,9:03:07,9:03:07,8,S27
103A_1,9:04:19,9:04:19,9,S557
103A_1,9:06:13,9:06:13,10,T558
103B_1,9:12:31,9:12:31,1,T558
103B_1,9:16:10,9:16:10,2,S561
103B_1,9:20:08,9:20:08,3,S562
103B_1,9:23:12,9:23:12,4,S563
103B_1,9:26:34,9:26:34,5,S564
103B_1,9:29:36,9:29:36,6,S566
103B_1,9:30:17,9:30:17,7,S567
103B_1,9:31:52,9:31:52,8,S569
103B_1,9:37:32,9:37:32,9,S570
103B_1,9:47:36,9:47:36,10,T251
104A_1,13:35:46,13:35:46,1,T232
104A_1,14:25:27,14:25:27,2,S574
104A_1,14:31:05,14:31:05,3,S575
104A_1,14:33:00,14:33:00,4,S576
104A_1,14:36:38,14:36:38,5,S414
104A_1,14:38:12,14:38:12,6,S415
104A_1,14:40:17,14:40:17,7,S415
104A_1,14:43:31,14:43:31,8,S581
104A_1,14:46:21,14:46:21,9,S582
104A_1,14:49:32,14:49:32,10,S583
104A_1,14:53:01,14:53:01,11,S585
104A_1,14:54:25,14:54:25,12,S587
104A_1,14:57:22,14:57:22,13,S588
104A_1,14:59:16,14:59:16,14,S590
104A_1,15:00:20,15:00:20,15,S591
104A_1,15:02:33,15:02:33,16,S592
104A_1,15:03:46,15:03:46,17,S593
104A_1,15:05:16,15:05:16,18,S594
104A_1,15:06:29,15:06:29,19,S595
104A_1,15:09:19,15:09:19,20,S596
104A_1,15:10:27,15:10:27,21,T597
104B_1,15:22:28,15:22:28,1,T597
104B_1,15:28:39,15:28:39,2,S600
104B_1,15:31:32,15:31:32,3,S601
104B_1,15:34:58,15:34:58,4,S602
104B_1,15:36:29,15:36:29,5,S603
104B_1,15:38:57,15:38:57,6,S605
104B_1,15:40:09,15:40:09,7,S606
104B_1,15:40:50,15:40:50,8,S607
104B_1,15:42:16,15:42:16,9,S608
104B_1,15:45:53,15:45:53,10,S609
104B_1,15:48:12,15:48:12,11,S611
104B_1,15:50:15,15:50:15,12,S613
104B_1,15:54:37,15:54:37,13,S614
104B_1,15:57:03,15:57:03,14,S14
104B_1,16:00:38,16:00:38,15,S14
104B_1,16:07:53,16:07:53,16,S617
104B_1,16:10:21,16:10:21,17,S380
104B_1,16:12:46,16:12:46,18,S620
104B_1,16:17:07,16:17:07,19,S385
104B_1,16:22:30,16:22:30,20,S623
104B_1,16:26:37,16:26:37,21,T251
105A_1,10:20:19,10:20:19,1,T232
105A_1,10:49:58,10:49:58,2,S415
105A_1,10:52:37,10:52:37,3,S417
105A_1,10:53:49,10:53:49,4,S629
105A_1,10:55:40,10:55:40,5,S630
105A_1,11:02:22,11:02:22,6,S631
105A_1,11:06:02,11:06:02,7,S633
105A_1,11:07:18,11:07:18,8,S635
105A_1,11:16:50,11:16:50,9,S636
105A_1,11:17:54,11:17:54,10,S637
105A_1,11:22:13,11:22:13,11,T638
105B_1,12:16:33,12:16:33,1,T638
105B_1,12:21:56,12:21:56,2,S641
105B_1,12:25:54,12:25:54,3,S642
105B_1,12:29:09,12:29:09,4,S643
105B_1,12:32:26,12:32:26,5,S645
105B_1,12:33:29,12:33:29,6,S646
105B_1,12:34:38,12:34:38,7,S647
105B_1,12:36:32,12:36:32,8,S648
105B_1,12:37:57,12:37:57,9,S649
105B_1,12:39:49,12:39:49,10,S651
105B_1,12:46:26,12:46:26,11,S352
105B_1,12:49:34,12:49:34,12,S422
