route_id,service_id,trip_id,shape_id
458B,service,458B_1,453001
463A,service,463A_1,454001
463B,service,463B_1,455001
468A,service,468A_1,456001
468B,service,468B_1,457001
469A,service,469A_1,458001
469B,service,469B_1,459001
046A,service,046A_1,460001
046B,service,046B_1,461001
470A,service,470A_1,462001
470B,service,470B_1,463001
472A,service,472A_1,464001
473A,service,473A_1,465001
473B,service,473B_1,466001
474A,service,474A_1,467001
474B,service,474B_1,468001
476A,service,476A_1,469001
476B,service,476B_1,470001
480B,service,480B_1,471001
485A,service,485A_1,472001
485B,service,485B_1,473001
486B,service,486B_1,474001
488A,service,488A_1,475001
488B,service,488B_1,476001
490A,service,490A_1,477001
490B,service,490B_1,478001
492A,service,492A_1,479001
492B,service,492B_1,480001
051A,service,051A_1,481001
051B,service,051B_1,482001
520A,service,520A_1,483001
520B,service,520B_1,484001
521A,service,521A_1,485001
522A,service,522A_1,486001
522B,service,522B_1,487001
523A,service,523A_1,488001
523B,service,523B_1,489001
524A,service,524A_1,490001
524B,service,524B_1,491001
535A,service,535A_1,492001
536A,service,536A_1,493001
536B,service,536B_1,494001
538A,service,538A_1,495001
538B,service,538B_1,496001
539A,service,539A_1,497001
540A,service,540A_1,498001
540B,service,540B_1,499001
542A,service,542A_1,500001
542B,service,542B_1,501001
543A,service,543A_1,502001
543B,service,543B_1,503001
544A,service,544A_1,504001
055A,service,055A_1,505001
056A,service,056A_1,506001
056B,service,056B_1,507001
061B,service,061B_1,508001
990A,service,990A_1,509001
994A,service,994A_1,510001
995A,service,995A_1,511001
995B,service,995B_1,512001
996B,service,996B_1,513001
997A,service,997A_1,514001
997B,service,997B_1,515001
999A,service,999A_1,516001
999B,service,999B_1,517001
009B,service,009B_1,518001
175A,service,175A_1,519001
021B,service,021B_1,520001
366B,service,366B_1,521001
017B,service,017B_1,522001
040A,service,040A_1,523001
082A,service,082A_1,524001
085A,service,085A_1,525001
090B,service,090B_1,526001
096A,service,096A_1,527001
098A,service,098A_1,528001
098B,service,098B_1,529001
116B,service,116B_1,530001
117B,service,117B_1,531001
118A,service,118A_1,532001
018B,service,018B_1,533001
232B,service,232B_1,534001
235A,service,235A_1,535001
235B,service,235B_1,536001
023B,service,023B_1,537001
263A,service,263A_1,538001
263B,service,263B_1,539001
275A,service,275A_1,540001
314A,service,314A_1,541001
314B,service,314B_1,542001
318A,service,318A_1,543001
339A,service,339A_1,544001
345B,service,345B_1,545001
348B,service,348B_1,546001
380B,service,380B_1,547001
383B,service,383B_1,548001
384B,service,384B_1,549001
394A,service,394A_1,550001
394B,service,394B_1,551001
398B,service,398B_1,552001
421B,service,421B_1,553001
004A,service,004A_1,554001
006B,service,006B_1,555001
998A,service,998A_1,556001
998B,service,998B_1,557001
211B,service,211B_1,558001
333A,service,333A_1,559001
004B,service,004B_1,560001
006A,service,006A_1,561001
007A,service,007A_1,562001
007B,service,007B_1,563001
008A,service,008A_1,564001
008B,service,008B_1,565001
009A,service,009A_1,566001
017A,service,017A_1,567001
039B,service,039B_1,568001
040B,service,040B_1,569001
052B,service,052B_1,570001
061A,service,061A_1,571001
075B,service,075B_1,572001
076B,service,076B_1,573001
079B,service,079B_1,574001
096B,service,096B_1,575001
104A,service,104A_1,576001
112A,service,112A_1,577001
116A,service,116A_1,578001
011B,service,011B_1,579001
122B,service,122B_1,580001
123B,service,123B_1,581001
012B,service,012B_1,582001
139A,service,139A_1,583001
139B,service,139B_1,584001
013A,service,013A_1,585001
144A,service,144A_1,586001
156B,service,156B_1,587001
015B,service,015B_1,588001
172A,service,172A_1,589001
173B,service,173B_1,590001
185A,service,185A_1,591001
019A,service,019A_1,592001
019B,service,019B_1,593001
209B,service,209B_1,594001
211A,service,211A_1,595001
212A,service,212A_1,596001
228A,service,228A_1,597001
230A,service,230A_1,598001
230B,service,230B_1,599001
232A,service,232A_1,600001
023A,service,023A_1,601001
243A,service,243A_1,602001
243B,service,243B_1,603001
251A,service,251A_1,604001
254B,service,254B_1,605001
262A,service,262A_1,606001
026B,service,026B_1,607001
270A,service,270A_1,608001
270B,service,270B_1,609001
281A,service,281A_1,610001
305A,service,305A_1,611001
305B,service,305B_1,612001
321A,service,321A_1,613001
321B,service,321B_1,614001
326A,service,326A_1,615001
334A,service,334A_1,616001
334B,service,334B_1,617001
347A,service,347A_1,618001
035A,service,035A_1,619001
035B,service,035B_1,620001
397A,service,397A_1,621001
393B,service,393B_1,622001
400A,service,400A_1,623001
401B,service,401B_1,624001
402A,service,402A_1,625001
410B,service,410B_1,626001
412B,service,412B_1,627001
416A,service,416A_1,628001
421A,service,421A_1,629001
425B,service,425B_1,630001
428A,service,428A_1,631001
438A,service,438A_1,632001
443A,service,443A_1,633001
447A,service,447A_1,634001
044A,service,044A_1,635001
454B,service,454B_1,636001
467A,service,467A_1,637001
467B,service,467B_1,638001
472B,service,472B_1,639001
480A,service,480A_1,640001
486A,service,486A_1,641001
521B,service,521B_1,642001
052A,service,052A_1,643001
535B,service,535B_1,644001
539B,service,539B_1,645001
544B,service,544B_1,646001
055B,service,055B_1,647001
092A,service,092A_1,648001
092B,service,092B_1,649001
994B,service,994B_1,650001
996A,service,996A_1,651001
