agency_id,agency_name,agency_url,agency_timezone
82,Odorkor Branch Of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
83,Okaikwe Taxi Drivers Union,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
84,Okponglo Co-operative Transport Society,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
85,Orgle Street Post Office Local of Kaneshie Circle Trotro Branch,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
86,Osu Blow up Trotro of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
87,Osu Trotro Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
88,Rawlings Park Co-operative (009),https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
89,Royal Co-operative Transport Society Limited,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
90,Salaga Mamprobi Camara Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
91,St. Michael Co-operative Transport Society,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
92,Susubiribiri GPRTU Taxi,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
93,Tiger Transport Lapaz Amasaman Branch,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
95,Unity PROTOA Branch,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
96,Unregistered Peugoet Operators,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
98,Wisdom Co-operative Society (016),https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
99,Zambrama Line Nasrawa Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
100,Agbogbloshie Kasoa Nyanyano Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
101,Agbogbloshie Taxi & Mini Cargo,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
8,Accra - C.M.B - Darkuman Local of Lomnava Tantra Hill Alhaji GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
65,Lapaz Branch of Tiger Transport Services Association,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
72,Newtown Nima Maamobi Local (Ayawaso Taxi) GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
78,Nkwahia Co-operative Transport Society Limited,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
94,Lapaz Branch of Tiger Transport Services Association,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
97,UTC- Circle Taxi Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
